job_title, company_name, state, city, link 
Client services co-op,Broadridge financial solutions  inc.,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1850877
(ccis) software development co-op,Broadridge financial solutions  inc.,Massachusetts,Edgewood,https://nucareers.northeastern.edu/postings.htm?pId=1856673
Technology department development  education with underserved populations,Buena onda,Global ,Antigua,https://nucareers.northeastern.edu/postings.htm?pId=1858548
Co-op - human factors engineer,Cambridge consultants,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1855843
Software engineer - developer  endpoint,Carbonite inc,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1858010
Software engineer - developer  saas,Carbonite inc,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1856838
Software engineer co-op,Cargurus,Massachusetts,Cambridge,https://nucareers.northeastern.edu/postings.htm?pId=1850898
Co-op  algorithmic traffic acquisition,Cargurus,Massachusetts,Cambridge,https://nucareers.northeastern.edu/postings.htm?pId=1846161
(ccis) saas operations engineer coop,Charles river development  inc.,Massachusetts,Burlington,https://nucareers.northeastern.edu/postings.htm?pId=1847437
(ccis) associate fix analyst,Charles river development  inc.,Massachusetts,Burlington,https://nucareers.northeastern.edu/postings.htm?pId=1847434
(ccis) it associate,Charles river development  inc.,Massachusetts,Burlington,https://nucareers.northeastern.edu/postings.htm?pId=1847436
(ccis) software engineer,Charles river development  inc.,Massachusetts,Burlington,https://nucareers.northeastern.edu/postings.htm?pId=1847428
(ccis) it information security & compliance co-op,Charles river laboratories international  inc.,Massachusetts,Wilmington,https://nucareers.northeastern.edu/postings.htm?pId=1860382
Software developer co-op,Chirp microsystems,California,Berkeley,https://nucareers.northeastern.edu/postings.htm?pId=1856942
(ccis) software developer co-op,Choate  hall & stewart llp,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1859338
Human resources co-op,Choate  hall & stewart llp,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1859696
Patent & intellectual property co-op,Choate  hall & stewart llp,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1859697
(ccis) information technology co-op,Cigna corporation,Connecticut,Hartford,https://nucareers.northeastern.edu/postings.htm?pId=1852941
Public safty it intern,City of cambridge,Massachusetts,Cambridge,https://nucareers.northeastern.edu/postings.htm?pId=1853875
(ccis) data analyst / architect,Clear brook advisors,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1856933
(ccis) business intelligence analyst co-op,Cloudhealth technologies,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1855119
(ccis) software engineer intern,Cloudhealth technologies,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1855050
(ccis) software engineering intern,Coinbase,California,San francisco,https://nucareers.northeastern.edu/postings.htm?pId=1857789
Technology assistant  information technology division,Commonwealth of massachusetts,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1854214
Ece co-op,Confer,Massachusetts,Charlestown,https://nucareers.northeastern.edu/postings.htm?pId=1853936
(ccis) software engineer co-op - cloud platform,Covered security  inc.,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1846630
(ccis) startup mobile app developer,Crew by true rowing,Massachusetts,Cambridge,https://nucareers.northeastern.edu/postings.htm?pId=1846476
(ccis) software engineering co-op,Curriculum associates  llc,Massachusetts,North billerica,https://nucareers.northeastern.edu/postings.htm?pId=1859610
Demand generation/inbound marketing specialist co-op,Cybereason,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1854874
Bioinformatics intern,Dana farber cancer institute  inc.,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1854854
(ccis) darpa research cloud co-op,Data machines corp.,Virginia,Ashburn,https://nucareers.northeastern.edu/postings.htm?pId=1856801
Marketing intern,Datacamp inc,New york,New york,https://nucareers.northeastern.edu/postings.htm?pId=1857065
(ccis) software engineer intern- apm team,Datadog,New york,New york,https://nucareers.northeastern.edu/postings.htm?pId=1851181
(ccis) software engineer intern - metrics intake team,Datadog,New york,New york,https://nucareers.northeastern.edu/postings.htm?pId=1851186
(ccis) software engineer intern - metrics query team,Datadog,New york,New york,https://nucareers.northeastern.edu/postings.htm?pId=1851209
(ccis) software engineer intern - metering and billing,Datadog,New york,New york,https://nucareers.northeastern.edu/postings.htm?pId=1851232
Global operations supplier process undergraduate engineer co-op,Dell,Massachusetts,Franklin,https://nucareers.northeastern.edu/postings.htm?pId=1851514
Firmware co-op,Desktopmetal inc.,Massachusetts,Burlington,https://nucareers.northeastern.edu/postings.htm?pId=1856726
Mechatronics co-op,Desktopmetal inc.,Massachusetts,Burlington,https://nucareers.northeastern.edu/postings.htm?pId=1856730
2d/3d software development co-op,Desktopmetal inc.,Massachusetts,Burlington,https://nucareers.northeastern.edu/postings.htm?pId=1858649
Application engineer,Desktopmetal inc.,Massachusetts,Burlington,https://nucareers.northeastern.edu/postings.htm?pId=1857955
Assistant teacher  devotion school,Devotion after school enrichment program,Massachusetts,Brookline,https://nucareers.northeastern.edu/postings.htm?pId=1851671
Multi-metal 3d printing software co-op,Digital alloys,Massachusetts,Burlington,https://nucareers.northeastern.edu/postings.htm?pId=1850779
(ccis) solution quality assurance intern,Dimensional insight incorporated,Massachusetts,Burlington,https://nucareers.northeastern.edu/postings.htm?pId=1856070
Software engineer co-op aka hacker fellow,Drafted,Massachusetts,Cambridge,https://nucareers.northeastern.edu/postings.htm?pId=1850469
Co-op color and image scientist/engineer,E ink holdings inc.,Massachusetts,Billerica,https://nucareers.northeastern.edu/postings.htm?pId=1859572
(ccis) co-op software engineer/image scientist,E ink holdings inc.,Massachusetts,Billerica,https://nucareers.northeastern.edu/postings.htm?pId=1854503
(ccis) co-op software engineering,E ink holdings inc.,Massachusetts,Billerica,https://nucareers.northeastern.edu/postings.htm?pId=1854509
Electrical engineer / physics co-op,E ink holdings inc.,Massachusetts,Billerica,https://nucareers.northeastern.edu/postings.htm?pId=1852030
(ccis) full stack developer,Eagle investments llc,Massachusetts,Wellesley,https://nucareers.northeastern.edu/postings.htm?pId=1855135
(ccis) devops/systems admin/data co-op,Eagle investments llc,Massachusetts,Wellesley,https://nucareers.northeastern.edu/postings.htm?pId=1855138
(ccis) software engineer,Eagle investments llc,Massachusetts,Wellesley,https://nucareers.northeastern.edu/postings.htm?pId=1855141
(ccis) full stack developer - office of the cto,Eagle investments llc,Massachusetts,Wellesley,https://nucareers.northeastern.edu/postings.htm?pId=1855145
(ccis) data analyst co-op,Eaton vance corp,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1858329
(ccis global) developer trainee,Ecobank,Global ,Accra,https://nucareers.northeastern.edu/postings.htm?pId=1855931
(ccis) technology co-op,Edgewise networks,Massachusetts,Burlington,https://nucareers.northeastern.edu/postings.htm?pId=1859843
(ccis) developer co-op,Ef education first,Massachusetts,Cambridge,https://nucareers.northeastern.edu/postings.htm?pId=1858660
Utility operations intern,Enernoc,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1855822
Demand response operations,Enernoc,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1855824
Data operations co-op,Enernoc,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1851556
Energy markets co-op,Enernoc,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1851559
(ccis) project software test engineer co-op,Ert corporation,Massachusetts,Charlestown,https://nucareers.northeastern.edu/postings.htm?pId=1859483
Energy efficiency contracts/supply chain management co-op,Eversource energy,Massachusetts,Westwood,https://nucareers.northeastern.edu/postings.htm?pId=1855769
